Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,30.32,54.98,NA,NA,NA,NA,9.91,0.12,19.96,0.50,1.26,0.27,NA,NA,0.55,22.20,76.26,0.14,72.03,0.00,0.00,0.54,741.94,-0.27
2025-01-01 01:00:00,30.38,55.08,NA,NA,NA,NA,9.94,0.14,12.86,0.50,1.26,0.27,NA,NA,0.55,21.64,80.60,0.08,105.59,0.00,0.00,0.46,740.15,-0.27
2025-01-01 02:00:00,31.44,56.90,NA,NA,NA,NA,9.93,0.12,12.24,0.51,1.25,0.27,NA,NA,0.55,21.34,82.96,0.09,160.24,0.00,0.00,0.52,737.29,-0.27
2025-01-01 03:00:00,33.03,59.61,NA,NA,NA,NA,9.91,0.20,6.46,0.50,1.23,0.28,NA,NA,0.56,20.99,81.37,0.21,290.90,0.00,0.00,0.68,735.80,-0.27
2025-01-01 04:00:00,33.79,60.90,NA,NA,NA,NA,9.90,0.13,8.72,0.50,1.24,0.27,NA,NA,0.55,20.79,83.76,0.09,105.35,0.00,0.00,0.62,735.45,-0.27
2025-01-01 05:00:00,35.91,64.54,NA,NA,NA,NA,9.89,0.12,12.13,0.52,1.26,0.27,NA,NA,0.54,20.64,84.81,0.12,169.37,0.00,0.00,0.49,736.41,-0.27
2025-01-01 06:00:00,34.38,61.91,NA,NA,NA,NA,9.88,0.12,14.29,0.50,1.25,0.28,NA,NA,0.55,20.35,86.07,0.11,129.69,0.00,0.00,2.69,737.71,-0.27
2025-01-01 07:00:00,30.86,55.90,NA,NA,NA,NA,9.89,0.15,13.68,0.50,1.24,0.27,NA,NA,0.55,20.64,84.30,0.12,151.36,0.00,0.00,33.15,740.47,-0.27
2025-01-01 08:00:00,30.91,55.99,NA,NA,NA,NA,9.91,0.16,19.31,0.51,1.27,0.27,NA,NA,0.55,21.75,76.48,0.16,221.66,0.00,0.00,74.41,743.21,-0.27
2025-01-01 09:00:00,30.85,55.90,NA,NA,NA,NA,9.90,0.17,26.50,0.49,1.27,0.27,NA,NA,0.55,23.18,69.68,0.16,157.34,0.00,0.00,111.00,744.14,-0.27
2025-01-01 10:00:00,31.67,57.29,NA,NA,NA,NA,9.90,0.13,32.75,0.50,1.25,0.27,NA,NA,0.55,24.58,63.88,0.18,96.54,0.00,0.00,150.69,744.42,-0.27
2025-01-01 11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 13:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 16:00:00,NA,NA,NA,NA,NA,NA,9.95,0.16,47.37,0.50,1.26,0.29,NA,NA,0.54,26.83,46.35,0.31,95.75,0.00,0.00,138.78,729.06,-0.27
2025-01-01 17:00:00,NA,NA,NA,NA,NA,NA,9.92,0.17,47.63,0.51,1.28,0.27,NA,NA,0.55,26.15,50.05,0.27,87.05,0.00,0.00,45.82,730.24,-0.27
2025-01-01 18:00:00,NA,NA,NA,NA,NA,NA,10.02,0.20,39.45,0.50,1.25,0.26,NA,NA,0.56,25.01,54.96,0.22,85.39,0.00,0.00,1.13,733.04,-0.27
2025-01-01 19:00:00,NA,NA,NA,NA,NA,NA,9.99,0.22,30.59,0.48,1.27,0.27,NA,NA,0.55,24.44,59.09,0.17,75.92,0.00,0.00,0.58,735.98,-0.27
2025-01-01 20:00:00,NA,NA,NA,NA,NA,NA,10.00,0.20,29.10,0.50,1.25,0.28,NA,NA,0.55,24.02,61.13,0.20,99.14,0.00,0.00,0.41,738.52,-0.27
2025-01-01 21:00:00,NA,NA,NA,NA,NA,NA,10.03,0.18,28.66,0.49,1.22,0.27,NA,NA,0.54,23.82,62.11,0.27,100.97,0.00,0.00,0.48,739.65,-0.27
2025-01-01 22:00:00,NA,NA,NA,NA,NA,NA,10.07,0.18,26.14,0.50,1.26,0.26,NA,NA,0.55,23.10,67.38,0.19,81.26,0.00,0.00,0.63,739.80,-0.27
2025-01-01 23:00:00,NA,NA,NA,NA,NA,NA,9.98,0.16,26.86,0.50,1.26,0.27,NA,NA,0.55,22.65,73.28,0.06,80.19,0.00,0.00,0.56,738.77,-0.27
2025-01-02 00:00:00,NA,NA,NA,NA,NA,NA,9.96,0.16,26.08,0.50,1.26,0.27,NA,NA,0.55,22.22,76.74,0.11,73.88,0.00,0.00,0.48,737.39,-0.27
2025-01-02 01:00:00,NA,NA,NA,NA,NA,NA,9.95,0.16,26.05,0.51,1.25,0.27,NA,NA,0.55,21.89,79.69,0.04,110.55,0.00,0.00,0.61,735.30,-0.27
2025-01-02 02:00:00,NA,NA,NA,NA,NA,NA,9.97,0.16,27.74,0.50,1.25,0.27,NA,NA,0.55,21.58,81.87,0.08,37.94,0.00,0.00,0.60,733.38,-0.27
2025-01-02 03:00:00,NA,NA,NA,NA,NA,NA,9.96,0.18,9.68,0.50,1.24,0.27,NA,NA,0.55,21.04,81.66,0.12,334.18,0.00,0.00,0.69,731.95,-0.27
2025-01-02 04:00:00,NA,NA,NA,NA,NA,NA,9.94,0.18,14.69,0.50,1.24,0.27,NA,NA,0.56,20.86,81.87,0.19,240.83,0.00,0.00,0.57,732.05,-0.27
2025-01-02 05:00:00,NA,NA,NA,NA,NA,NA,9.95,0.22,7.35,0.50,1.26,0.28,NA,NA,0.55,20.40,85.56,0.10,225.27,0.00,0.00,0.62,733.51,-0.27
2025-01-02 06:00:00,NA,NA,NA,NA,NA,NA,9.95,0.26,3.92,0.50,1.30,0.27,NA,NA,0.54,20.05,88.56,0.11,123.79,0.00,0.00,2.56,736.08,-0.27
2025-01-02 07:00:00,NA,NA,NA,NA,NA,NA,9.94,0.30,4.12,0.50,1.27,0.26,NA,NA,0.54,20.60,85.60,0.14,215.86,0.00,0.00,43.10,739.22,-0.27
2025-01-02 08:00:00,NA,NA,NA,NA,NA,NA,9.94,0.26,14.67,0.51,1.27,0.27,NA,NA,0.55,21.75,77.78,0.22,212.79,0.00,0.00,102.29,742.18,-0.27
2025-01-02 09:00:00,NA,NA,NA,NA,NA,NA,9.94,0.23,27.73,0.50,1.24,0.27,NA,NA,0.55,22.80,71.24,0.16,200.21,0.00,0.00,135.47,744.56,-0.27
2025-01-02 10:00:00,44.37,78.97,NA,NA,NA,NA,9.94,0.18,39.39,0.50,1.27,0.28,NA,NA,0.55,24.48,62.30,0.16,91.87,0.00,0.00,238.38,744.30,-0.27
2025-01-02 11:00:00,44.53,79.25,NA,NA,NA,NA,9.98,0.16,46.44,0.50,1.24,0.27,NA,NA,0.55,25.57,54.86,0.28,92.42,0.00,0.00,425.58,741.74,-0.27
2025-01-02 12:00:00,42.59,75.94,NA,NA,NA,NA,10.05,0.17,47.29,0.50,1.24,0.26,NA,NA,0.55,26.62,47.43,0.34,93.15,0.00,0.00,615.99,738.73,-0.27
2025-01-02 13:00:00,41.69,74.40,NA,NA,NA,NA,10.13,0.16,53.92,0.50,1.25,0.27,NA,NA,0.56,27.15,43.60,0.35,94.69,0.00,0.00,632.98,734.57,-0.27
2025-01-02 14:00:00,42.04,74.99,NA,NA,NA,NA,10.20,0.16,56.42,0.50,1.23,0.26,NA,NA,0.55,27.58,41.38,0.34,94.00,0.00,0.00,526.61,731.33,-0.27
2025-01-02 15:00:00,40.11,71.70,NA,NA,NA,NA,10.16,0.16,55.62,0.50,1.26,0.26,NA,NA,0.55,27.16,43.24,0.32,91.07,0.00,0.00,339.56,730.06,-0.27
2025-01-02 16:00:00,42.72,76.15,NA,NA,NA,NA,10.06,0.16,50.28,0.50,1.24,0.27,NA,NA,0.55,26.77,45.20,0.35,93.40,0.00,0.00,198.78,729.89,-0.27
2025-01-02 17:00:00,39.50,70.66,NA,NA,NA,NA,10.07,0.18,46.74,0.50,1.24,0.27,NA,NA,0.55,25.51,50.68,0.32,90.68,0.00,0.00,32.55,731.38,-0.27
2025-01-02 18:00:00,40.26,71.95,NA,NA,NA,NA,10.07,0.18,42.32,0.49,1.27,0.27,NA,NA,0.56,24.20,59.46,0.25,92.88,0.00,0.00,1.34,735.36,-0.27
2025-01-02 19:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 20:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
