Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-01 01:00:00,66.00,92.00,1.20,21.40,12.30,11.00,9.20,1.03,55.50,1.20,4.30,0.40,NA,NA,0.10,22.50,77.00,2.40,85.00,0.00,0.00,4.00,758.00,NA
2020-01-01 02:00:00,64.00,91.50,1.25,18.20,10.72,9.90,9.35,0.92,62.65,1.10,3.53,0.38,NA,NA,0.08,22.55,75.25,2.50,90.50,0.00,0.00,4.00,758.00,NA
2020-01-01 03:00:00,60.75,90.00,1.88,14.73,9.35,10.10,9.93,0.89,62.48,1.02,2.78,0.30,NA,NA,0.05,22.88,77.50,1.80,81.75,0.00,0.00,4.00,758.00,NA
2020-01-01 04:00:00,67.25,88.25,1.00,14.60,8.62,8.45,10.32,0.83,63.22,1.20,2.62,0.20,NA,NA,0.10,22.62,77.25,1.68,121.25,0.00,0.00,3.75,758.00,NA
2020-01-01 05:00:00,61.00,84.50,1.38,14.20,8.70,7.75,9.62,0.82,65.78,1.02,2.33,0.20,NA,NA,0.10,22.55,76.25,1.78,126.00,0.00,0.00,4.00,758.00,NA
2020-01-01 06:00:00,58.00,89.00,1.58,19.45,11.65,8.12,7.60,0.97,54.28,1.12,2.50,0.20,NA,NA,0.08,22.25,78.25,1.12,159.50,0.00,0.00,117.50,758.75,NA
2020-01-01 07:00:00,75.00,118.00,1.85,22.95,13.73,8.75,6.78,1.07,53.80,1.52,4.55,0.50,NA,NA,0.10,22.80,73.75,1.08,141.50,0.00,0.00,382.50,759.75,NA
2020-01-01 08:00:00,73.25,117.00,2.28,21.88,13.50,9.48,6.35,1.05,65.88,1.82,5.80,0.70,NA,NA,0.15,24.75,63.75,1.62,152.75,0.00,0.00,411.75,760.75,NA
2020-01-01 09:00:00,62.50,106.00,2.08,17.00,10.73,9.28,5.72,0.66,80.32,1.15,3.75,0.48,NA,NA,0.12,26.42,57.75,3.45,102.50,0.00,0.00,425.75,761.00,NA
2020-01-01 10:00:00,45.75,82.25,2.55,17.12,11.20,9.85,4.90,0.88,83.18,1.15,3.72,0.50,NA,NA,0.10,27.52,55.25,4.50,89.75,0.00,0.00,432.00,761.00,NA
2020-01-01 11:00:00,44.00,79.00,2.50,14.65,9.85,10.20,8.45,0.89,85.88,1.12,3.85,0.57,NA,NA,0.10,28.30,53.00,5.20,96.25,0.00,0.00,433.00,760.25,NA
2020-01-01 12:00:00,41.50,68.25,4.92,23.25,16.40,12.73,9.40,0.88,79.85,1.12,3.90,0.57,NA,NA,0.12,28.28,53.25,5.58,98.25,0.00,0.00,419.75,759.25,NA
2020-01-01 13:00:00,40.00,72.00,2.38,17.18,11.05,10.32,6.70,0.82,82.78,1.10,3.75,0.60,NA,NA,0.10,28.08,55.50,7.38,107.00,0.00,0.00,418.50,758.25,NA
2020-01-01 14:00:00,34.75,73.75,2.20,14.58,9.52,9.52,9.10,0.83,90.75,1.08,3.52,0.52,NA,NA,0.10,28.02,57.00,7.48,105.25,0.00,0.00,413.50,758.00,NA
