Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,66.00,79.00,12.92,17.50,19.80,6.90,13.00,0.59,28.38,0.28,0.40,1.27,NA,NA,NA,20.20,81.75,0.98,347.00,0.00,0.00,11.00,NA,-0.10
2025-01-01 01:00:00,60.50,69.00,10.05,14.40,15.82,7.83,12.90,0.64,34.02,0.12,0.00,0.95,NA,NA,NA,20.00,85.25,0.30,347.00,0.00,0.00,11.00,NA,-0.10
2025-01-01 02:00:00,61.25,67.75,10.52,15.75,16.90,7.40,11.75,0.68,33.80,0.12,0.08,1.25,NA,NA,NA,20.00,85.25,0.30,347.00,0.00,0.00,11.00,NA,-0.10
2025-01-01 03:00:00,63.00,75.00,20.00,16.40,24.98,10.48,11.90,0.79,28.70,0.52,0.25,1.78,NA,NA,NA,19.90,86.75,0.32,347.00,0.00,0.00,11.00,NA,-0.10
2025-01-01 04:00:00,77.75,85.00,14.62,18.77,21.90,8.30,14.85,0.56,28.85,0.48,0.20,0.98,NA,NA,NA,19.75,89.00,0.52,347.00,0.00,0.00,11.00,NA,-0.10
2025-01-01 05:00:00,85.50,96.25,11.80,17.42,18.85,7.85,13.45,0.44,34.98,0.98,0.38,0.98,NA,NA,NA,19.80,89.00,0.90,347.00,0.00,0.00,11.50,NA,-0.10
2025-01-01 06:00:00,80.25,92.75,16.00,18.98,23.10,7.40,13.85,0.41,29.72,1.25,0.78,0.80,NA,NA,NA,19.80,89.00,0.92,347.00,0.00,0.00,12.00,NA,-0.10
2025-01-01 07:00:00,71.25,90.25,12.25,18.30,19.70,7.15,9.90,0.45,30.20,1.20,0.58,2.00,NA,NA,NA,19.90,89.00,1.10,347.00,0.00,0.00,29.25,NA,-0.10
2025-01-01 08:00:00,80.75,96.25,12.15,19.75,20.35,6.70,10.52,0.60,31.78,1.02,0.35,1.00,NA,NA,NA,20.55,87.25,0.88,346.25,0.00,0.00,60.00,NA,-0.10
2025-01-01 09:00:00,85.00,102.00,11.98,17.27,19.00,7.72,14.05,0.58,33.40,1.10,0.30,1.40,NA,NA,NA,21.52,81.75,0.38,344.00,0.00,0.00,82.50,NA,-0.10
2025-01-01 10:00:00,71.75,97.50,11.80,16.88,18.58,7.50,12.50,0.59,39.72,1.67,0.70,1.12,NA,NA,NA,22.28,75.75,0.38,338.00,0.00,0.00,70.75,NA,-0.15
2025-01-01 11:00:00,67.25,90.00,11.85,18.00,19.15,7.50,13.70,0.54,40.20,1.70,0.85,0.88,NA,NA,NA,23.05,70.25,0.35,345.00,0.00,0.00,88.75,NA,-0.12
2025-01-01 12:00:00,67.50,85.25,9.60,15.10,15.80,7.07,19.85,0.54,42.68,1.87,1.08,0.60,NA,NA,NA,23.18,69.50,0.30,76.75,0.00,0.00,83.00,NA,-0.15
2025-01-01 13:00:00,77.00,98.25,10.58,16.15,17.20,7.58,21.98,0.55,40.65,1.12,0.28,0.70,NA,NA,NA,23.15,71.00,0.30,44.75,0.00,0.00,78.00,NA,-0.10
2025-01-01 14:00:00,83.25,98.75,9.93,16.35,16.78,7.65,20.70,0.55,39.22,0.55,0.15,0.90,NA,NA,NA,22.70,74.25,0.30,61.25,0.00,0.00,57.00,NA,-0.10
2025-01-01 15:00:00,82.00,95.75,10.05,15.60,16.50,7.02,14.12,0.52,38.83,0.52,0.00,1.00,NA,NA,NA,22.60,72.50,0.30,65.50,0.00,0.00,42.50,NA,-0.10
2025-01-01 16:00:00,77.50,90.25,11.08,16.32,17.68,7.25,12.25,0.56,38.65,0.70,0.28,1.35,NA,NA,NA,22.22,75.75,0.30,61.75,0.00,0.00,34.75,NA,-0.10
2025-01-01 17:00:00,81.00,93.25,10.98,17.10,17.98,7.75,13.00,0.60,34.35,0.38,0.10,0.80,NA,NA,NA,21.65,79.00,0.30,63.00,0.00,0.00,18.00,NA,-0.10
2025-01-01 18:00:00,76.00,90.00,13.65,18.80,21.08,7.55,12.27,0.60,30.13,0.52,0.00,0.57,NA,NA,NA,21.08,80.75,0.30,63.25,0.00,0.00,10.75,NA,-0.10
2025-01-01 19:00:00,70.00,86.50,15.80,21.65,24.33,7.43,10.55,0.60,26.68,0.68,0.18,0.65,NA,NA,NA,20.78,83.75,0.30,63.00,0.00,0.00,10.75,NA,-0.10
2025-01-01 20:00:00,72.00,87.25,11.40,18.15,18.92,7.48,11.10,0.56,28.90,0.48,0.40,0.85,NA,NA,NA,20.58,87.00,0.30,65.00,0.00,0.00,11.00,NA,-0.10
2025-01-01 21:00:00,81.75,97.25,13.02,20.45,21.50,7.82,13.90,0.62,28.15,0.22,0.15,0.72,NA,NA,NA,20.38,88.25,0.30,65.00,0.00,0.00,11.00,NA,-0.10
2025-01-01 22:00:00,89.50,108.00,14.18,18.75,21.52,8.18,12.42,0.56,29.33,0.38,0.05,0.75,NA,NA,NA,20.12,87.50,0.30,65.00,0.00,0.00,11.00,NA,-0.10
2025-01-01 23:00:00,77.50,105.50,12.60,19.48,20.60,7.68,11.82,0.54,31.05,0.50,0.00,1.02,NA,NA,NA,20.05,82.25,0.30,64.50,0.00,0.00,11.00,NA,-0.10
2025-01-02 00:00:00,72.00,87.50,9.38,16.70,16.47,6.82,9.55,0.44,36.25,0.52,0.02,1.05,NA,NA,NA,19.95,81.50,0.30,61.50,0.00,0.00,11.00,NA,-0.10
2025-01-02 01:00:00,69.75,82.00,7.88,15.55,14.68,6.68,6.70,0.48,36.22,0.55,0.00,0.82,NA,NA,NA,19.78,82.25,0.30,61.00,0.00,0.00,11.00,NA,-0.10
2025-01-02 02:00:00,69.00,78.75,7.07,13.62,13.02,6.52,8.05,0.45,35.70,0.28,0.00,0.88,NA,NA,NA,19.70,81.50,0.30,62.25,0.00,0.00,11.00,NA,-0.10
2025-01-02 03:00:00,64.00,81.00,15.70,16.27,21.45,8.40,11.22,0.53,35.33,0.18,0.00,0.85,NA,NA,NA,19.65,81.00,0.30,64.00,0.00,0.00,11.00,NA,-0.10
2025-01-02 04:00:00,75.25,88.25,11.75,18.88,19.62,6.80,11.05,0.48,36.90,0.15,0.00,0.77,NA,NA,NA,19.60,81.00,0.30,62.25,0.00,0.00,11.00,NA,-0.10
2025-01-02 05:00:00,75.25,83.50,18.40,23.72,27.58,7.48,7.62,0.54,28.58,0.55,0.12,1.17,NA,NA,NA,19.45,80.75,0.30,59.00,0.00,0.00,11.00,NA,-0.10
2025-01-02 06:00:00,81.50,88.25,22.48,27.65,32.98,6.70,9.93,0.58,25.12,0.42,0.08,0.88,NA,NA,NA,19.45,80.75,0.30,59.00,0.00,0.00,12.25,NA,-0.10
2025-01-02 07:00:00,79.75,99.25,18.85,24.17,28.20,8.30,22.22,0.60,24.05,0.75,0.15,0.73,NA,NA,NA,19.68,82.25,0.30,59.00,0.00,0.00,30.00,NA,-0.10
2025-01-02 08:00:00,81.00,101.50,18.12,23.75,27.40,7.50,15.25,0.57,31.50,0.80,0.23,0.60,NA,NA,NA,21.15,74.75,0.30,63.00,0.00,0.00,53.50,NA,-0.10
2025-01-02 09:00:00,84.00,95.50,16.00,23.98,25.75,7.40,20.10,0.57,33.85,1.00,0.38,0.73,NA,NA,NA,22.68,67.25,0.30,64.25,0.00,0.00,69.75,NA,-0.10
2025-01-02 10:00:00,75.00,91.75,11.92,19.70,20.18,7.65,23.35,0.56,40.17,0.62,0.18,0.68,NA,NA,NA,22.83,68.00,0.30,57.75,0.00,0.00,93.75,NA,-0.10
