Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,93.71,164.77,4.78,23.03,16.13,15.35,3.96,0.99,40.90,0.92,0.64,NA,NA,0.20,0.30,22.57,89.22,0.12,143.58,0.00,0.00,22.86,738.44,13.91
2025-01-01 01:00:00,119.63,211.06,4.78,22.38,15.79,14.84,3.88,1.02,40.90,1.03,0.56,NA,NA,0.20,0.30,21.93,89.68,0.08,118.67,0.00,0.00,22.87,736.94,19.72
2025-01-01 02:00:00,62.55,109.14,4.82,14.70,11.73,9.09,3.53,0.98,40.90,0.91,0.64,NA,NA,0.20,0.30,21.38,87.86,0.09,112.92,0.00,0.00,22.87,735.02,NA
2025-01-01 03:00:00,42.44,73.22,4.92,11.98,10.37,7.10,3.16,0.92,40.90,1.00,0.58,NA,NA,0.20,0.30,21.14,87.21,0.14,113.30,0.00,0.00,22.87,733.74,19.02
2025-01-01 04:00:00,41.93,72.32,4.93,12.10,10.44,7.19,3.08,0.87,40.90,0.94,0.66,NA,NA,0.20,0.30,20.90,87.60,0.10,113.46,0.00,0.00,22.91,733.76,19.69
2025-01-01 05:00:00,41.06,70.76,4.86,13.06,10.89,7.89,3.03,0.86,40.90,0.96,0.65,NA,NA,0.20,0.30,20.75,87.95,0.10,117.99,0.00,0.00,22.89,734.47,18.97
2025-01-01 06:00:00,40.44,69.64,4.84,17.31,13.14,11.07,3.02,0.86,40.90,0.95,0.68,NA,NA,0.20,0.30,20.69,87.99,0.09,117.84,0.00,0.00,26.76,735.72,17.20
2025-01-01 07:00:00,57.64,100.37,4.77,20.58,14.82,13.48,3.06,0.84,40.90,1.01,0.70,NA,NA,0.20,0.30,21.34,84.08,0.12,113.84,0.00,0.00,85.92,737.85,15.21
2025-01-01 08:00:00,61.70,107.62,4.89,26.71,18.17,18.19,3.30,0.82,40.90,0.94,0.58,NA,NA,0.20,0.30,23.60,74.09,0.18,126.33,0.00,0.00,154.65,739.23,16.62
2025-01-01 09:00:00,42.82,73.91,4.97,23.27,16.41,15.62,3.94,0.79,40.90,0.92,0.63,NA,NA,0.20,0.30,25.32,67.43,0.28,148.87,0.00,0.00,347.92,739.79,16.94
2025-01-01 10:00:00,40.20,69.23,4.88,18.42,13.76,11.92,4.81,0.80,40.90,0.93,0.66,NA,NA,0.20,0.30,26.35,64.59,0.43,127.60,0.00,0.00,434.00,739.44,17.86
2025-01-01 11:00:00,57.08,99.37,4.78,15.65,12.20,9.78,5.11,0.80,40.90,1.00,0.60,NA,NA,0.20,0.30,26.67,63.30,0.22,96.86,0.00,0.00,302.94,738.28,17.07
2025-01-01 12:00:00,81.06,142.19,4.68,14.94,11.74,9.18,5.22,0.77,40.90,0.86,0.56,NA,NA,0.20,0.30,27.19,54.34,0.15,256.27,0.00,0.00,288.35,735.77,15.03
2025-01-01 13:00:00,81.90,143.68,4.93,18.01,13.59,11.66,6.34,0.74,40.90,0.89,0.66,NA,NA,0.20,0.30,27.31,54.52,0.21,349.27,0.00,0.00,318.94,733.28,17.98
2025-01-01 14:00:00,82.40,144.57,5.03,18.68,14.02,12.20,10.92,0.73,40.90,1.00,0.68,NA,NA,0.20,0.30,27.16,54.82,0.22,332.74,0.00,0.00,220.82,731.16,16.12
2025-01-01 15:00:00,90.12,158.36,4.97,15.20,12.12,9.56,10.54,0.74,40.90,0.82,0.65,NA,NA,0.20,0.30,26.90,54.86,0.24,334.70,0.00,0.00,190.21,729.52,16.98
2025-01-01 16:00:00,148.85,263.24,4.76,16.91,12.86,10.72,8.94,0.74,40.90,1.06,0.60,NA,NA,0.20,0.30,26.21,56.11,0.11,314.83,0.00,0.00,109.21,729.26,17.61
2025-01-01 17:00:00,133.68,236.15,4.69,21.20,15.09,13.90,8.66,0.74,40.90,0.98,0.67,NA,NA,0.20,0.30,25.38,61.48,0.08,238.62,0.00,0.00,42.65,730.18,16.76
2025-01-01 18:00:00,49.68,86.15,4.82,37.84,24.04,26.49,7.11,0.74,40.90,0.96,0.64,NA,NA,0.20,0.30,24.44,68.90,0.10,324.65,0.00,0.00,23.13,732.19,12.16
2025-01-01 19:00:00,78.24,137.14,4.94,41.01,25.82,28.96,5.80,0.78,40.90,1.04,0.56,NA,NA,0.20,0.30,23.93,71.82,0.06,248.95,0.00,0.00,22.77,734.18,14.59
