Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,36.68,62.35,10.25,4.54,10.74,12.37,6.09,0.48,8.15,0.24,0.86,NA,NA,0.20,0.16,27.99,89.03,0.54,154.53,0.00,0.00,2.30,784.59,0.28
2025-01-01 01:00:00,52.81,94.61,7.68,6.55,9.72,12.44,6.18,0.48,9.31,0.24,0.86,NA,NA,0.20,0.16,27.68,92.64,0.54,154.86,0.00,0.00,2.32,782.23,0.28
2025-01-01 02:00:00,32.65,54.28,7.90,6.56,9.90,12.48,6.35,0.48,6.97,0.24,0.86,NA,NA,0.20,0.16,27.20,96.28,0.54,154.84,0.00,0.00,2.27,779.85,0.28
2025-01-01 03:00:00,31.16,51.32,6.17,6.89,8.67,12.47,6.14,0.48,8.63,0.24,0.86,NA,NA,0.20,0.16,26.86,96.49,0.54,155.29,0.00,0.00,2.24,778.85,0.28
2025-01-01 04:00:00,31.05,51.09,6.69,6.74,9.02,12.48,5.94,0.48,7.91,0.24,0.86,NA,NA,0.20,0.16,26.84,97.84,0.54,154.96,0.00,0.00,2.22,778.21,0.28
2025-01-01 05:00:00,62.99,114.96,9.18,4.50,9.47,12.56,5.49,0.48,5.88,0.24,0.86,NA,NA,0.20,0.16,26.70,97.75,0.58,159.26,0.00,0.00,2.63,779.37,0.28
2025-01-01 06:00:00,31.49,51.97,5.73,6.36,8.03,12.36,5.50,0.48,5.83,0.24,0.86,NA,NA,0.20,0.16,26.01,97.12,0.62,163.62,0.00,0.00,5.28,781.96,0.27
2025-01-01 07:00:00,49.27,87.52,6.50,6.10,8.52,12.46,5.43,0.48,8.14,0.24,0.86,NA,NA,0.20,0.16,26.20,97.66,0.62,163.24,0.00,0.00,34.28,784.53,0.28
2025-01-01 08:00:00,55.61,100.22,6.35,6.22,8.46,12.46,5.23,0.48,14.42,0.24,0.86,NA,NA,0.20,0.16,27.34,94.09,0.58,159.36,0.00,0.00,133.74,787.62,0.27
2025-01-01 09:00:00,48.36,85.72,5.89,6.32,8.14,12.45,5.33,0.48,25.92,0.24,0.86,NA,NA,0.20,0.16,28.59,84.23,0.60,162.50,0.00,0.00,221.50,788.91,0.27
2025-01-01 10:00:00,43.88,76.76,5.74,6.16,7.93,12.39,5.31,0.48,37.82,0.24,0.86,NA,NA,0.20,0.16,30.11,70.59,0.61,163.19,0.00,0.00,387.30,788.03,0.27
2025-01-01 11:00:00,44.14,77.27,5.01,6.59,7.57,12.34,5.72,0.48,48.13,0.24,0.86,NA,NA,0.20,0.16,31.24,58.55,0.63,167.50,0.00,0.00,608.40,785.71,0.27
2025-01-01 12:00:00,56.13,101.26,4.78,7.00,7.60,12.41,4.46,0.48,45.30,0.24,0.86,NA,NA,0.20,0.16,31.25,55.09,0.64,167.20,0.00,0.00,411.58,782.10,0.27
2025-01-01 13:00:00,31.52,52.03,4.93,7.01,7.72,12.44,4.10,0.48,51.59,0.24,0.86,NA,NA,0.20,0.16,31.62,50.57,0.64,167.94,0.00,0.00,418.32,778.03,0.28
2025-01-01 14:00:00,37.64,64.26,4.86,6.95,7.64,12.44,4.19,0.48,55.38,0.24,0.86,NA,NA,0.20,0.16,32.21,46.03,0.62,166.06,0.00,0.00,400.89,774.72,0.28
2025-01-01 15:00:00,37.72,64.44,4.74,6.92,7.53,12.42,4.16,0.48,60.13,0.24,0.86,NA,NA,0.20,0.16,32.13,45.12,0.60,162.34,0.00,0.00,310.42,772.66,0.27
2025-01-01 16:00:00,39.70,68.40,4.54,7.08,7.44,12.36,5.70,0.48,66.37,0.24,0.86,NA,NA,0.20,0.16,32.11,43.68,0.58,159.88,0.00,0.00,154.08,772.36,0.28
2025-01-01 17:00:00,39.18,67.36,4.66,7.57,7.80,12.37,6.00,0.48,58.32,0.24,0.86,NA,NA,0.20,0.16,31.16,50.36,0.58,160.84,0.00,0.00,23.94,773.64,0.28
2025-01-01 18:00:00,40.28,69.57,5.33,8.07,8.62,12.42,5.31,0.48,47.19,0.24,0.86,NA,NA,0.20,0.16,30.18,59.06,0.59,160.48,0.00,0.00,2.20,776.14,0.28
2025-01-01 19:00:00,40.24,69.47,6.02,8.57,9.44,12.43,6.07,0.48,32.52,0.24,0.86,NA,NA,0.20,0.16,29.55,64.32,0.53,154.93,0.00,0.00,2.15,779.59,0.28
2025-01-01 20:00:00,44.01,77.01,6.99,8.68,10.28,12.44,6.40,0.48,25.18,0.24,0.86,NA,NA,0.20,0.16,28.98,66.35,0.52,153.53,0.00,0.00,2.13,781.44,0.28
2025-01-01 21:00:00,44.48,77.96,9.05,8.36,11.73,12.46,6.02,0.48,25.74,0.24,0.86,NA,NA,0.20,0.16,28.71,70.50,0.55,156.90,0.00,0.00,1.94,782.92,0.28
2025-01-01 22:00:00,79.31,147.61,7.80,5.34,9.06,12.36,4.07,0.48,35.97,0.24,0.86,NA,NA,0.20,0.16,28.20,84.21,0.57,158.58,0.00,0.00,2.28,782.88,0.28
2025-01-01 23:00:00,31.72,52.42,5.15,7.13,7.97,12.40,4.14,0.48,38.64,0.24,0.86,NA,NA,0.20,0.16,27.80,87.93,0.54,155.22,0.00,0.00,2.18,781.65,0.28
2025-01-02 00:00:00,33.52,56.03,5.84,7.76,8.87,12.42,3.99,0.48,25.78,0.24,0.86,NA,NA,0.20,0.16,27.68,88.61,0.56,157.38,0.00,0.00,2.39,780.36,0.28
2025-01-02 01:00:00,31.17,51.34,5.42,7.53,8.40,12.45,3.72,0.48,18.85,0.24,0.86,NA,NA,0.20,0.16,27.00,93.20,0.56,157.05,0.00,0.00,2.53,778.74,0.28
2025-01-02 02:00:00,31.04,51.08,5.09,7.33,8.03,12.44,3.78,0.48,15.46,0.24,0.86,NA,NA,0.20,0.16,26.14,90.99,0.60,161.56,0.00,0.00,2.46,776.46,0.27
2025-01-02 03:00:00,35.89,60.76,4.58,7.27,7.58,12.38,3.65,0.48,16.81,0.24,0.86,NA,NA,0.20,0.16,25.95,91.66,0.55,156.66,0.00,0.00,2.17,774.99,0.28
2025-01-02 04:00:00,67.75,124.50,4.53,7.44,7.63,12.38,3.65,0.48,21.70,0.24,0.86,NA,NA,0.20,0.16,26.00,93.05,0.56,157.32,0.00,0.00,2.21,775.11,0.28
2025-01-02 05:00:00,31.66,52.31,4.98,7.38,7.96,12.44,3.72,0.48,18.13,0.24,0.86,NA,NA,0.20,0.16,25.77,96.38,0.57,157.88,0.00,0.00,2.24,776.65,0.28
2025-01-02 06:00:00,62.52,114.01,8.24,5.54,9.11,12.38,3.48,0.48,9.48,0.24,0.86,NA,NA,0.20,0.16,25.19,98.18,0.59,161.36,0.00,0.00,6.05,779.10,0.28
2025-01-02 07:00:00,31.78,52.54,7.48,5.32,8.90,12.40,3.43,0.48,20.58,0.24,0.86,NA,NA,0.20,0.16,25.21,98.32,0.60,161.95,0.00,0.00,44.05,782.70,0.28
2025-01-02 08:00:00,31.04,51.08,5.68,6.69,8.17,12.39,3.48,0.48,20.99,0.24,0.86,NA,NA,0.20,0.16,25.42,98.17,0.60,162.50,0.00,0.00,111.22,786.60,0.27
2025-01-02 09:00:00,50.12,89.22,5.39,6.69,7.93,12.36,3.38,0.52,19.57,0.27,0.88,NA,NA,0.18,0.18,26.15,98.28,0.60,161.78,0.00,0.00,191.33,788.90,0.27
2025-01-02 10:00:00,35.13,59.24,5.01,6.95,7.76,12.40,3.18,0.53,25.71,0.28,0.88,NA,NA,0.17,0.18,27.08,98.11,0.62,163.69,0.00,0.00,307.39,789.10,0.27
2025-01-02 11:00:00,34.46,57.92,4.90,7.05,7.73,12.41,3.44,0.53,34.65,0.28,0.88,NA,NA,0.17,0.18,28.95,82.01,0.62,164.41,0.00,0.00,594.40,786.28,0.26
2025-01-02 12:00:00,32.61,54.21,4.69,7.16,7.61,12.43,5.18,0.53,38.62,0.28,0.88,NA,NA,0.17,0.18,30.36,62.93,0.62,165.44,0.00,0.00,547.67,782.51,0.27
2025-01-02 13:00:00,33.17,55.32,4.65,7.33,7.67,12.42,5.29,0.53,48.56,0.28,0.88,NA,NA,0.17,0.18,31.02,57.45,0.60,162.26,0.00,0.00,453.76,778.65,0.28
2025-01-02 14:00:00,32.76,54.52,4.36,6.94,7.23,12.35,5.46,0.53,56.26,0.28,0.88,NA,NA,0.17,0.18,31.38,53.55,0.64,166.87,0.00,0.00,440.68,775.76,0.28
