Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,44.10,75.57,4.12,11.25,9.32,14.78,11.09,0.61,15.46,0.21,0.84,NA,NA,0.14,NA,27.61,93.46,1.32,325.22,NA,0.00,2.55,747.17,0.72
2025-01-01 01:00:00,43.33,74.02,4.14,10.85,9.12,14.78,8.64,0.51,15.82,0.21,0.84,NA,NA,0.14,NA,27.55,94.34,1.32,314.71,NA,0.00,2.66,744.62,0.72
2025-01-01 02:00:00,44.29,75.94,4.16,11.45,9.47,14.74,8.16,0.60,11.94,0.21,0.84,NA,NA,0.14,NA,27.31,96.30,1.20,294.62,NA,0.00,2.61,742.36,0.72
2025-01-01 03:00:00,43.82,75.02,4.19,11.19,9.35,14.77,6.87,0.57,9.11,0.21,0.84,NA,NA,0.14,NA,26.95,96.48,1.68,351.82,NA,0.00,2.72,741.30,0.72
2025-01-01 04:00:00,43.36,74.09,4.15,10.19,8.79,14.82,6.66,0.44,10.60,0.21,0.84,NA,NA,0.14,NA,26.98,94.94,0.90,292.28,NA,0.00,2.66,740.83,0.72
2025-01-01 05:00:00,42.98,73.33,4.13,10.14,8.74,14.84,6.85,0.47,12.30,0.21,0.84,NA,NA,0.14,NA,26.92,94.10,1.26,298.09,NA,0.00,2.96,741.97,0.72
2025-01-01 06:00:00,42.44,72.26,4.16,10.62,9.02,14.80,5.64,0.62,9.20,0.21,0.84,NA,NA,0.14,NA,26.76,95.16,1.14,294.38,NA,0.00,4.48,744.36,0.72
2025-01-01 07:00:00,43.04,73.46,4.11,10.41,8.86,14.81,4.75,0.55,19.40,0.21,0.84,NA,NA,0.14,NA,26.68,96.49,1.25,317.86,NA,0.00,23.88,747.19,0.72
2025-01-01 08:00:00,42.32,72.00,4.10,10.20,8.75,14.84,5.39,0.54,25.54,0.21,0.84,NA,NA,0.14,NA,27.38,91.49,0.83,320.25,NA,0.00,94.34,750.13,0.72
2025-01-01 09:00:00,42.01,71.39,4.06,10.66,8.97,14.81,6.11,0.56,30.66,0.21,0.84,NA,NA,0.14,NA,28.50,83.99,0.55,286.42,NA,0.00,231.46,751.42,0.72
2025-01-01 10:00:00,43.85,75.05,4.08,10.15,8.70,14.84,5.43,0.47,37.76,0.21,0.84,NA,NA,0.14,NA,29.79,73.91,0.18,208.65,NA,0.00,339.25,750.62,0.72
2025-01-01 11:00:00,44.51,76.39,4.05,9.98,8.60,14.85,5.78,0.41,39.96,0.21,0.84,NA,NA,0.14,NA,30.39,66.66,0.64,285.42,NA,0.00,195.98,748.24,0.72
2025-01-01 12:00:00,43.88,75.13,4.09,9.90,8.58,14.86,5.65,0.36,43.96,0.21,0.84,NA,NA,0.14,NA,31.31,58.72,0.16,239.08,NA,0.00,197.96,744.41,0.72
2025-01-01 13:00:00,43.19,73.75,4.07,9.86,8.55,14.86,5.80,0.41,46.04,0.21,0.84,NA,NA,0.14,NA,31.66,54.63,0.63,293.16,NA,0.00,270.21,740.25,0.72
