Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,101.25,147.00,3.90,38.30,23.52,NA,5.60,0.60,212.00,2.68,2.40,0.92,NA,NA,NA,22.25,17.25,1.17,291.00,0.00,0.00,6.00,750.00,NA
2025-01-01 01:00:00,108.00,168.00,4.07,36.63,22.83,NA,4.90,0.48,NA,3.10,2.30,0.80,NA,NA,NA,21.83,19.00,1.17,266.00,0.00,0.00,6.00,750.00,NA
2025-01-01 02:00:00,95.25,152.00,4.88,37.88,24.10,NA,5.82,0.41,NA,3.78,2.80,0.78,NA,NA,NA,21.25,19.00,1.40,274.50,0.00,0.00,6.00,749.25,NA
2025-01-01 03:00:00,91.00,144.50,2.62,28.58,17.32,NA,5.85,0.32,NA,2.70,2.12,0.57,NA,NA,NA,20.72,19.00,1.22,302.25,0.00,0.00,6.00,749.00,NA
2025-01-01 04:00:00,92.50,142.00,2.78,22.92,14.45,1.10,5.70,0.27,NA,2.70,1.40,0.38,NA,NA,NA,20.40,18.75,0.78,298.25,0.00,0.00,6.00,749.00,NA
2025-01-01 05:00:00,88.50,147.50,2.95,34.67,20.85,NA,5.72,0.27,NA,3.10,1.12,0.30,NA,NA,NA,20.35,18.50,1.38,295.00,0.00,0.00,6.00,749.50,NA
2025-01-01 06:00:00,92.75,145.50,4.10,40.75,25.00,NA,5.75,0.51,NA,2.58,0.98,0.25,NA,NA,NA,20.02,19.75,1.33,284.00,0.00,0.00,8.00,750.00,NA
2025-01-01 07:00:00,100.00,147.50,4.12,43.47,26.45,NA,6.18,0.61,NA,2.78,0.95,0.25,NA,NA,NA,20.48,19.75,1.10,257.50,0.00,0.00,34.25,750.50,NA
2025-01-01 08:00:00,96.00,157.33,5.47,48.50,30.20,NA,6.43,0.68,NA,3.07,1.20,0.30,NA,NA,NA,21.87,20.33,1.00,299.67,0.00,0.00,106.67,751.00,NA
2025-01-01 09:00:00,93.50,153.25,6.08,48.30,30.65,NA,6.00,0.68,NA,2.33,1.32,0.40,NA,NA,NA,25.32,25.00,1.62,276.25,0.00,0.00,253.50,751.00,NA
2025-01-01 10:00:00,89.00,140.25,5.82,44.63,28.45,NA,6.70,2.42,11.55,3.18,1.38,0.48,NA,NA,NA,27.92,40.00,1.83,197.75,0.00,0.00,297.75,751.00,NA
